occurrenceID;institutionCode;collectioncode;collectionid;catalognumber;catalognumbernumeric;dc_type;basisofrecord;collectornumber;collector;sex;reproductiveStatus;preparations;verbatimdate;eventdate;year;month;day;startdayofyear;enddayofyear;startdatecollected;enddatecollected;habitat;highergeography;continent;country;stateprovince;islandgroup;county;island;municipality;locality;minimumelevationmeters;maximumelevationmeters;verbatimelevation;decimallatitude;decimallongitude;geodeticdatum;identifiedby;dateidentified;identificationqualifier;identificationremarks;identificationreferences;typestatus;scientificname;scientificnameauthorship;family;informationwitheld;datageneralizations;othercatalognumbers;datelastupdated
83d3823d-e61d-45d8-ba6f-f44794d86683;Harvard University;GH;urn:lsid:biocol.org:col:15631;barcode-00045256;45256;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;1323;R. Spruce;undetermined;Flower;Sheet;;1851;1851;;;;;1851-01-01;1852-01-01;;"South America;Brazil;";South America;Brazil;Amazonas;;;;;Prope Barra, Prov. Rio Negro;;;;;;;;;;;;Isotype;Vochysia vismiifolia Spruce ex Warming;Spruce ex Warming;Vochysiaceae;;;;16/08/2010 16:41:30
ab5e80e3-8b98-4db1-b337-e0e0a38f0e01;Harvard University;GH;urn:lsid:biocol.org:col:15631;barcode-00095215;95215;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;1287;R. Spruce;undetermined;NotDetermined;Sheet;;1851;1851;;;;;1851-01-01;1852-01-01;;"South America;Brazil;";South America;Brazil;Amazonas;;;;;Prope Barra, Prov. Rio Negro;;;;;;;;;;;;Type;Psychotria sphaerocephala Müller Argoviensis;Müller Argoviensis;Rubiaceae;;;;16/08/2010 16:42:19
4e163779-0d06-49ba-9195-67682fe79dd7;Harvard University;GH;urn:lsid:biocol.org:col:15631;barcode-00139914;139914;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;s.n.;R. Spruce;undetermined;Fruit;Sheet;;1851;1851;;;;;1851-01-01;1852-01-01;;"South America;Brazil;";South America;Brazil;Amazonas;;;;;"In vicinibus Barra, Prov. Rio Negro.""";;;;;;;;17/08/2006;;;;Isotype;Cybianthus nitidus Miquel;Miquel;Myrsinaceae;;;;16/08/2010 16:36:37
6a50ad2e-67b9-4ebe-b983-433d951b0d12;Harvard University;GH;urn:lsid:biocol.org:col:15631;barcode-00139915;139915;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;1836;R. Spruce;undetermined;Flower;Sheet;;1851;1851;;;;;1851-01-01;1852-01-01;;"South America;Brazil;";South America;Brazil;Amazonas;;;;;"Prope Barra, Prov. Rio Negro.""";;;;;;;;17/08/2006;;;;Isotype;Cybianthus nitidus Miquel;Miquel;Myrsinaceae;;;;16/08/2010 16:43:49
9ddc8114-8a50-4f9b-a560-c4e144fc5161;Harvard University;GH;urn:lsid:biocol.org:col:15631;barcode-00044870;44870;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;2316;R. Spruce;undetermined;NotDetermined;Sheet;;1852;1852;;;;;1852-01-01;1853-01-01;;"South America;Brazil;";South America;Brazil;Amazonas;;;;;Prope San Gabriel do Cachoeiras ad Rio Negro;;;;;;;;;;;;Isotype;Guarea pedicellata C. de Candolle;C. de Candolle;Meliaceae;;;;16/08/2010 16:35:51
6a88ce46-63af-4fd2-8ac7-1086e2fdc03d;Harvard University;AMES;urn:lsid:biocol.org:col:15408;barcode-00090990;90990;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;1790;R. Spruce;undetermined;NotDetermined;Sheet;;1852;1852;;;;;1852-01-01;1853-01-01;;"South America;Brazil;";South America;Brazil;Amazonas;;;;;Prope Lanure ad Rio Vaupes;;;;;;;;;;Arev: Not a type;;;Acacallis cyanea Lindley;Lindley;Orchidaceae;;;AMES-accession-68564;16/08/2010 16:34:49
cc6b13a1-2925-4ad1-974b-6925cc89b5d8;Harvard University;GH;urn:lsid:biocol.org:col:15631;barcode-00046205;46205;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;2268;R. Spruce;undetermined;Flower;Sheet;;1852;1852;;;;;1852-01-01;1853-01-01;;"South America;Brazil;Amazonas;";South America;Brazil;Amazonas;;;;;San Gabriel do Cochoeiros ad Rio Negro;;;;;;;;;;;;Isotype;Hirtella brachystachya Spruce ex Hooker f.;Spruce ex Hooker f.;Chrysobalanaceae;;;;16/08/2010 16:42:06
d14f8cc4-dc96-4e77-ac54-aba77d05b5c8;Harvard University;GH;urn:lsid:biocol.org:col:15631;barcode-00062633;62633;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;2388;R. Spruce;undetermined;Flower;Sheet;;1852;1852;;;;;1852-01-01;1853-01-01;;"South America;Brazil;";South America;Brazil;Amazonas;;;;;Prope San Gabriel do Cochoeiros ad Rio Negro;;;;;;;;;;;;Isosyntype;Quiina tinifolia Planchon & Triana;Planchon & Triana;Quiinaceae;;;;16/08/2010 16:42:59
060c5519-52b7-4fa5-b93e-49d41204145f;Harvard University;GH;urn:lsid:biocol.org:col:15631;barcode-00046591;46591;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;2777;R. Spruce;undetermined;NotDetermined;Sheet;;1852;1852;;;;;1852-01-01;1853-01-01;;"South America;Brazil;";South America;Brazil;Amazonas;;;;;Panure, Rio Uaupes;;;;;;;;;;;;Type;Siparuna sprucei A. de Candolle;A. de Candolle;Monimiaceae;;;;16/08/2010 16:43:01
cc863cc1-d9d2-42a0-91ab-6b4f9ff779da;Harvard University;GH;urn:lsid:biocol.org:col:15631;barcode-00092713;92713;http://purl.org/dc/dcmitype/PhysicalObject;PreservedSpecimen;3387;R. Spruce;undetermined;Flower;Sheet;;1853;1853;;;;;1853-01-01;1854-01-01;;"South America;Brazil;";South America;Brazil;Amazonas;;;;;Ad flumina Casiquiari, Vasiva et Pacimoni;;;;;;;;;;;;Type;Faramea torquata Müller Argoviensis;Müller Argoviensis;Rubiaceae;;;;16/08/2010 16:41:12
